archive,entry,size_bytes,sha256
P2C_Baseline_Rollup_ChatGPT_accepted_v1.zip,00_README_FIRST.md,1019,e369dc16e99e499424f26016b5399fc65be949b4e647e5f21a78565ceed6825f
P2C_Baseline_Rollup_ChatGPT_accepted_v1.zip,01_CURRENT_TRUTH_ROLLUP.md,2009,6d4ddae9073282773a17571a428251b223bf22fd468061b34b05dcad1ae4a4c1
P2C_Baseline_Rollup_ChatGPT_accepted_v1.zip,02_ACCEPTED_FLOORS_CHAIN.md,2223,3fcab02b7bf1a003c23d256db98ef0c135c98ec917c419105c99f13de6ab092a
P2C_Baseline_Rollup_ChatGPT_accepted_v1.zip,03_PINNED_INVARIANTS.md,1543,7671f057d85be2b3f88474c185201dda97963c62aa49b94f1c4d3163d6b7c7eb
P2C_Baseline_Rollup_ChatGPT_accepted_v1.zip,04_ARTIFACT_REGISTER.md,2575,5f3c68406c5c2be86699b91a4d113ad6e58d3b8d2d0eb09b5ee87dd632153b4b
P2C_Baseline_Rollup_ChatGPT_accepted_v1.zip,05_BOUNDARIES_AND_SOURCE_POINTERS.md,1323,6aae9696d41e11afba15dd77019f25dbdd97840e42c965f6bf5487c7a22d3e20
P2C_Baseline_Rollup_ChatGPT_accepted_v1.zip,06_LICH_AND_P2L_SCOPE.md,767,9e873e31d0707c013780e16183dc9537cc7b71db4071e1e22b0540afd2764e21
P2C_Baseline_Rollup_ChatGPT_accepted_v1.zip,07_PROCEDURAL_INCIDENTS.md,927,e97b186da2259000cf9d58cb87819cd93f1829efd46750adb49ff0032617d37f
P2C_Baseline_Rollup_ChatGPT_accepted_v1.zip,08_PROCESS_RULES_SUMMARY.md,1184,0f75053ee2185e2a56c532e6f5c6893558a94a05f54d79bc371677643ac63226
P2C_Baseline_Rollup_ChatGPT_accepted_v1.zip,09_NEXT_ACTIONS.md,1184,8ddd73027f8be9085c6bf3db3c221b1365499637189e98ac650d538ec3d6b1dc
P2C_Baseline_Rollup_ChatGPT_accepted_v1.zip,PACKAGE_MANIFEST.md,1903,1b8c21e3a2a9e19c7c74f1bdda8080401d376948a3014fe80d877bfac0baac12
P2C_Baseline_Rollup_ChatGPT_accepted_v1.zip,SHA256SUMS.txt,1004,484d1001c57d7b1adebfdf2ece22593fe7bf9b97dc6e653f3bd155ba1954a0f7
P2C_Baseline_Rollup_Superseding_ChatGPT_accepted_v2.zip,00_README_FIRST.md,890,e2e5f3cedf6922497b7ce5ab545b8887be5ed2a677dd4e756299da2d72a3afca
P2C_Baseline_Rollup_Superseding_ChatGPT_accepted_v2.zip,01_CURRENT_TRUTH_SUPERSEDING_BASELINE.md,1509,a9719fcad097ea6e7ab6d891827b758797648f380720d896af6b36e022feff5c
P2C_Baseline_Rollup_Superseding_ChatGPT_accepted_v2.zip,02_ACCEPTED_GATES_AND_EVIDENCE.md,1759,c184060f30b31d808070fa9cdb020b25428ecc4a14ba764b6c48e9fc54f5461b
P2C_Baseline_Rollup_Superseding_ChatGPT_accepted_v2.zip,03_ACCEPTED_ARTIFACT_REGISTER.md,1624,8791ad94f6d60b4c4ddbfe0c3d7402d1c98c1d38861ec297c1cdee759bc98784
P2C_Baseline_Rollup_Superseding_ChatGPT_accepted_v2.zip,04_CLASSIFICATION_AND_RELEASE_STATE.md,1401,1117c89659d3fbb8b92448e6f482f26e3f0b978af9c66d7d17f4237375c0344c
P2C_Baseline_Rollup_Superseding_ChatGPT_accepted_v2.zip,05_BOUNDARIES_AND_OPEN_BLOCKERS.md,1305,ac0a46b3b2b62c0e1abe7ed28f56a35090107b832e482b2065faf76c39e67280
P2C_Baseline_Rollup_Superseding_ChatGPT_accepted_v2.zip,06_PROCESS_AND_PACKAGE_RULES.md,1120,ddae7fad2a7d356b3b285c1d86d7445ab7d8f204aa5ec4cc01f619029ccf4f4a
P2C_Baseline_Rollup_Superseding_ChatGPT_accepted_v2.zip,07_NEXT_FLOOR_OPTIONS.md,1275,18be194afbe18106ad72331fd15e9642cb3eb5a6c78c85ccd239aa8f8a0626b7
P2C_Baseline_Rollup_Superseding_ChatGPT_accepted_v2.zip,PACKAGE_MANIFEST.md,1771,898c1257d20045d9c32b184a8a4fa05ebed4c4ad63ea065846f79b775fb45de1
P2C_Baseline_Rollup_Superseding_ChatGPT_accepted_v2.zip,SHA256SUMS.txt,872,1c666064bed184d9604691cd2a1ccab69bf99e70b34885fee765677890155b54
P2C_Baseline_Rollup_Superseding_Delta_ChatGPT_accepted_v2_1.zip,00_README_FIRST.md,1029,a403d91d3d1015506b042c47c34221ff3eefd92d2197ec7c417c0b2faa54d165
P2C_Baseline_Rollup_Superseding_Delta_ChatGPT_accepted_v2_1.zip,01_STANDALONE_COMPLETENESS_PATCH.md,1178,289e71e79d5337c8659cd5a726fd23327a8327a35cd7cfd1cdb4939892ae3451
P2C_Baseline_Rollup_Superseding_Delta_ChatGPT_accepted_v2_1.zip,02_PINNED_INVARIANTS_AND_POINTERS.md,2920,e585eb18485a3eeaab382d6ed70bfbf6a3b5761cc8871296333f77309fd8dd2f
P2C_Baseline_Rollup_Superseding_Delta_ChatGPT_accepted_v2_1.zip,03_REGISTER_WORDING_FIX.md,1375,7160632952a126ecca6e1a82802e5cdd29c379bfb4bd002b336ec4224e59ee13
P2C_Baseline_Rollup_Superseding_Delta_ChatGPT_accepted_v2_1.zip,CHANGELOG.md,978,fe1d44de96621751f77d1d58c9f0f5589110d04a1edd5de6399ae347fa3474d3
P2C_Baseline_Rollup_Superseding_Delta_ChatGPT_accepted_v2_1.zip,PACKAGE_MANIFEST.md,2314,dd61939b1b883f1940150f15312f66f0e75ad591169060705d2f72167df69f09
P2C_Baseline_Rollup_Superseding_Delta_ChatGPT_accepted_v2_1.zip,SHA256SUMS.txt,548,b14b653360bbfb0944add8d0b56036494f47e6c2ad2d1a3584306b26123d64d3
